Technology,Parameter,Region,Level,Commodity,Species,Mode,Units,Vintage,Value,Comment
clinker_dry_ccs_cement,fix_cost,R12_RCPA,,,,,MUSD/Mt,,30.0,Voldsund (2019): fix + raw material (solvent etc)
clinker_dry_ccs_cement,input,R12_RCPA,final,electr,,M1,GWa/Mt,,0.008237847222222223,https://www.sciencedirect.com/science/article/pii/S1876610209000150 
clinker_dry_ccs_cement,input,R12_RCPA,useful_cement,ht_heat,,M1,GWa/Mt,,0.000354,"previously: https://www.sciencedirect.com/science/article/abs/pii/S0263876217303003, now https://www.netl.doe.gov/energy-analysis/details?id=865aaad2-9252-44d9-a48a-95599b3072b4 (page 108, Fuel Cost)"
clinker_dry_ccs_cement,output,R12_RCPA,,,,M1,,,,
clinker_dry_ccs_cement,technical_lifetime,R12_RCPA,,,,,yr,,25.0,Gardarsdottir (2019)
clinker_dry_ccs_cement,capacity_factor,R12_RCPA,,,,,%,,0.91,Gardarsdottir (2019)
clinker_dry_cement,input,R12_RCPA,final,electr,,M1,GWa/Mt,,0.003,"25% of 0.012 Gwa/Mt, based on 110 kWh/t from ETSAP IEA"
clinker_dry_cement,input,R12_RCPA,useful_cement,ht_heat,,M1,GWa/Mt,,0.11167602739726028,"ADVANCE 2011 (3519 MJ/t for China,  Figure 16)"
clinker_dry_cement,input,R12_RCPA,secondary_material,raw_meal_cement,,M1,Mt/Mt,,1.55,https://www.scribd.com/doc/294782074/Raw-Meal-to-Clinker-Ratio
clinker_dry_cement,output,R12_RCPA,tertiary_material,clinker_cement,,M1,Mt,,1.0,
clinker_dry_cement,technical_lifetime,R12_RCPA,,,,,yr,,25.0,IEA ETSAP
clinker_dry_cement,capacity_factor,R12_RCPA,,,,,%,,0.8,Arbitrary
clinker_dry_cement,inv_cost,R12_RCPA,,,,,MUSD/Mt,,131.5,263 EUR/t total investment cost (2010). 50% assumed
clinker_dry_cement,fix_cost,R12_RCPA,,,,,MUSD/Mt,,0.1,
