node_loc,technology,value,year_act,mode,time,unit
R12_AFR,furnace_biomass_cement,2.0819,2025,high_temp,year,GWa
R12_AFR,furnace_coal_cement,4.3282,2025,high_temp,year,GWa
R12_AFR,furnace_foil_cement,1.5871,2025,high_temp,year,GWa
R12_AFR,furnace_gas_cement,3.4172,2025,high_temp,year,GWa
R12_CHN,furnace_biomass_cement,1.3118,2025,high_temp,year,GWa
R12_CHN,furnace_coal_cement,106.794,2025,high_temp,year,GWa
R12_CHN,furnace_foil_cement,4.8285,2025,high_temp,year,GWa
R12_CHN,furnace_gas_cement,18.5818,2025,high_temp,year,GWa
R12_EEU,furnace_biomass_cement,2.6434,2025,high_temp,year,GWa
R12_EEU,furnace_coal_cement,3.8721,2025,high_temp,year,GWa
R12_EEU,furnace_foil_cement,1.1573,2025,high_temp,year,GWa
R12_EEU,furnace_gas_cement,2.2826,2025,high_temp,year,GWa
R12_FSU,furnace_biomass_cement,0.5642,2025,high_temp,year,GWa
R12_FSU,furnace_coal_cement,3.1891,2025,high_temp,year,GWa
R12_FSU,furnace_foil_cement,1.19,2025,high_temp,year,GWa
R12_FSU,furnace_gas_cement,8.4136,2025,high_temp,year,GWa
R12_LAM,furnace_biomass_cement,1.9401,2025,high_temp,year,GWa
R12_LAM,furnace_coal_cement,2.2563,2025,high_temp,year,GWa
R12_LAM,furnace_foil_cement,8.0273,2025,high_temp,year,GWa
R12_LAM,furnace_gas_cement,3.7775,2025,high_temp,year,GWa
R12_MEA,furnace_biomass_cement,1.8818,2025,high_temp,year,GWa
R12_MEA,furnace_coal_cement,2.7365,2025,high_temp,year,GWa
R12_MEA,furnace_foil_cement,4.4084,2025,high_temp,year,GWa
R12_MEA,furnace_gas_cement,19.9301,2025,high_temp,year,GWa
R12_NAM,furnace_biomass_cement,0.6051,2025,high_temp,year,GWa
R12_NAM,furnace_coal_cement,3.2768,2025,high_temp,year,GWa
R12_NAM,furnace_foil_cement,0.967,2025,high_temp,year,GWa
R12_NAM,furnace_gas_cement,6.4848,2025,high_temp,year,GWa
R12_PAO,furnace_biomass_cement,0.1971,2025,high_temp,year,GWa
R12_PAO,furnace_coal_cement,2.8451,2025,high_temp,year,GWa
R12_PAO,furnace_foil_cement,1.3569,2025,high_temp,year,GWa
R12_PAO,furnace_gas_cement,1.0481,2025,high_temp,year,GWa
R12_PAS,furnace_biomass_cement,0.4255,2025,high_temp,year,GWa
R12_PAS,furnace_coal_cement,12.4445,2025,high_temp,year,GWa
R12_PAS,furnace_foil_cement,0.9881,2025,high_temp,year,GWa
R12_PAS,furnace_gas_cement,0.8733,2025,high_temp,year,GWa
R12_RCPA,furnace_biomass_cement,0.3268,2025,high_temp,year,GWa
R12_RCPA,furnace_coal_cement,10.6832,2025,high_temp,year,GWa
R12_RCPA,furnace_foil_cement,0.426,2025,high_temp,year,GWa
R12_RCPA,furnace_gas_cement,0.6917,2025,high_temp,year,GWa
R12_SAS,furnace_biomass_cement,0.8343,2025,high_temp,year,GWa
R12_SAS,furnace_coal_cement,28.2446,2025,high_temp,year,GWa
R12_SAS,furnace_foil_cement,12.4528,2025,high_temp,year,GWa
R12_SAS,furnace_gas_cement,0.4026,2025,high_temp,year,GWa
R12_WEU,furnace_biomass_cement,6.1778,2025,high_temp,year,GWa
R12_WEU,furnace_coal_cement,9.1762,2025,high_temp,year,GWa
R12_WEU,furnace_foil_cement,3.6245,2025,high_temp,year,GWa
R12_WEU,furnace_gas_cement,5.0048,2025,high_temp,year,GWa
