,node_loc,technology,year_vtg,value,unit
0,R12_AFR,h2_elec_alk,2020,0.007127433638443936,GW
1,R12_AFR,h2_elec_alk,2025,0.004751622425629289,GW
2,R12_AFR,h2_elec_pem,2020,0.0030023987854251007,GW
3,R12_AFR,h2_elec_pem,2025,0.012009595141700403,GW
4,R12_CHN,h2_elec_alk,2015,0.0029025624988558347,GW
5,R12_CHN,h2_elec_alk,2020,0.9972054547595371,GW
6,R12_CHN,h2_elec_alk,2025,0.8453597781072695,GW
7,R12_CHN,h2_elec_pem,2015,0.002401919028340081,GW
8,R12_CHN,h2_elec_pem,2020,0.04981978844212745,GW
9,R12_CHN,h2_elec_pem,2025,0.02948811874549387,GW
10,R12_EEU,h2_elec_alk,2015,0.0006788032036613271,GW
11,R12_EEU,h2_elec_alk,2020,0.0027152128146453085,GW
12,R12_EEU,h2_elec_pem,2015,0.0004371492631578947,GW
13,R12_EEU,h2_elec_pem,2020,0.010155313651821861,GW
14,R12_EEU,h2_elec_pem,2025,0.027622068825910923,GW
15,R12_FSU,h2_elec_pem,2020,0.001801439271255061,GW
16,R12_FSU,h2_elec_pem,2025,0.0012009595141700407,GW
17,R12_LAM,h2_elec_alk,1965,0.08485040045766588,GW
18,R12_LAM,h2_elec_alk,2005,0.0005620490526315886,GW
19,R12_LAM,h2_elec_alk,2010,0.0022481962105263126,GW
20,R12_LAM,h2_elec_pem,2015,9.367484210526315e-06,GW
21,R12_LAM,h2_elec_pem,2020,0.008272134467206477,GW
22,R12_LAM,h2_elec_pem,2025,0.006271331868421054,GW
23,R12_MEA,h2_elec_alk,2015,0.0001547671304347826,GW
24,R12_MEA,h2_elec_alk,2020,0.00023215069565217392,GW
25,R12_MEA,h2_elec_pem,2020,0.03002398785425101,GW
26,R12_MEA,h2_elec_pem,2025,0.01876499240890688,GW
27,R12_NAM,h2_elec_alk,2010,0.001355434237070938,GW
28,R12_NAM,h2_elec_alk,2015,0.00042370895972540035,GW
29,R12_NAM,h2_elec_alk,2020,0.0013576064073226543,GW
30,R12_NAM,h2_elec_pem,2000,0.02681142115384615,GW
31,R12_NAM,h2_elec_pem,2005,0.019003947368421054,GW
32,R12_NAM,h2_elec_pem,2010,0.028505921052631562,GW
33,R12_NAM,h2_elec_pem,2015,0.005704557692307696,GW
34,R12_NAM,h2_elec_pem,2020,0.16097805263157894,GW
35,R12_NAM,h2_elec_pem,2025,0.168146701417004,GW
36,R12_PAO,h2_elec_alk,2010,0.00027152128146453087,GW
37,R12_PAO,h2_elec_alk,2015,0.00040728192219679625,GW
38,R12_PAO,h2_elec_alk,2020,0.04080964860411899,GW
39,R12_PAO,h2_elec_pem,2015,0.002287347490688259,GW
40,R12_PAO,h2_elec_pem,2020,0.016765274721862344,GW
41,R12_PAO,h2_elec_pem,2025,0.010533615898785424,GW
42,R12_PAS,h2_elec_alk,2015,0.00018734968421052633,GW
43,R12_PAS,h2_elec_alk,2020,0.0007493987368421053,GW
44,R12_PAS,h2_elec_pem,2015,0.0012072045036437245,GW
45,R12_PAS,h2_elec_pem,2020,0.001826419229149798,GW
46,R12_SAS,h2_elec_alk,2010,0.0013863876631578945,GW
47,R12_SAS,h2_elec_alk,2015,0.005545550652631579,GW
48,R12_SAS,h2_elec_alk,2020,0.002443691533180777,GW
49,R12_SAS,h2_elec_alk,2025,0.009774766132723113,GW
50,R12_SAS,h2_elec_pem,2010,1.873496842105263e-05,GW
51,R12_SAS,h2_elec_pem,2015,1.2489978947368425e-05,GW
52,R12_SAS,h2_elec_pem,2020,0.006817246682186233,GW
53,R12_SAS,h2_elec_pem,2025,0.02724947113663967,GW
54,R12_WEU,h2_elec_alk,1990,0.001425486727688787,GW
55,R12_WEU,h2_elec_alk,1995,0.0009503244851258581,GW
56,R12_WEU,h2_elec_alk,2000,0.00019278010983981696,GW
57,R12_WEU,h2_elec_alk,2005,0.00020975018993135003,GW
58,R12_WEU,h2_elec_alk,2010,0.02819242075057208,GW
59,R12_WEU,h2_elec_alk,2015,0.06938481834607169,GW
60,R12_WEU,h2_elec_alk,2020,0.12333946226071701,GW
61,R12_WEU,h2_elec_alk,2025,0.1556597566475972,GW
62,R12_WEU,h2_elec_pem,2010,0.0015016797765182188,GW
63,R12_WEU,h2_elec_pem,2015,0.035854646295546556,GW
64,R12_WEU,h2_elec_pem,2020,0.25381389300277846,GW
65,R12_WEU,h2_elec_pem,2025,0.21111732674283173,GW
66,R12_WEU,h2_elec_soe,2015,0.00011740580210526313,GW
67,R12_WEU,h2_elec_soe,2020,0.011310267567423822,GW
68,R12_WEU,h2_elec_soe,2025,0.006984527700831024,GW
