exporter,importer,export_technology,import_technology,"INCLUDE? (No=0, Yes=1)"
R12_AFR,R12_RCPA,loil_piped_exp_rcpa,loil_piped_imp,0
R12_AFR,R12_CHN,loil_piped_exp_chn,loil_piped_imp,0
R12_AFR,R12_EEU,loil_piped_exp_eeu,loil_piped_imp,0
R12_AFR,R12_FSU,loil_piped_exp_fsu,loil_piped_imp,0
R12_AFR,R12_LAM,loil_piped_exp_lam,loil_piped_imp,0
R12_AFR,R12_MEA,loil_piped_exp_mea,loil_piped_imp,1
R12_AFR,R12_NAM,loil_piped_exp_nam,loil_piped_imp,0
R12_AFR,R12_PAO,loil_piped_exp_pao,loil_piped_imp,0
R12_AFR,R12_PAS,loil_piped_exp_pas,loil_piped_imp,0
R12_AFR,R12_SAS,loil_piped_exp_sas,loil_piped_imp,0
R12_AFR,R12_WEU,loil_piped_exp_weu,loil_piped_imp,1
R12_RCPA,R12_AFR,loil_piped_exp_afr,loil_piped_imp,0
R12_RCPA,R12_CHN,loil_piped_exp_chn,loil_piped_imp,1
R12_RCPA,R12_EEU,loil_piped_exp_eeu,loil_piped_imp,0
R12_RCPA,R12_FSU,loil_piped_exp_fsu,loil_piped_imp,0
R12_RCPA,R12_LAM,loil_piped_exp_lam,loil_piped_imp,0
R12_RCPA,R12_MEA,loil_piped_exp_mea,loil_piped_imp,0
R12_RCPA,R12_NAM,loil_piped_exp_nam,loil_piped_imp,0
R12_RCPA,R12_PAO,loil_piped_exp_pao,loil_piped_imp,0
R12_RCPA,R12_PAS,loil_piped_exp_pas,loil_piped_imp,0
R12_RCPA,R12_SAS,loil_piped_exp_sas,loil_piped_imp,0
R12_RCPA,R12_WEU,loil_piped_exp_weu,loil_piped_imp,0
R12_CHN,R12_AFR,loil_piped_exp_afr,loil_piped_imp,0
R12_CHN,R12_RCPA,loil_piped_exp_rcpa,loil_piped_imp,1
R12_CHN,R12_EEU,loil_piped_exp_eeu,loil_piped_imp,0
R12_CHN,R12_FSU,loil_piped_exp_fsu,loil_piped_imp,1
R12_CHN,R12_LAM,loil_piped_exp_lam,loil_piped_imp,0
R12_CHN,R12_MEA,loil_piped_exp_mea,loil_piped_imp,1
R12_CHN,R12_NAM,loil_piped_exp_nam,loil_piped_imp,0
R12_CHN,R12_PAO,loil_piped_exp_pao,loil_piped_imp,0
R12_CHN,R12_PAS,loil_piped_exp_pas,loil_piped_imp,0
R12_CHN,R12_SAS,loil_piped_exp_sas,loil_piped_imp,0
R12_CHN,R12_WEU,loil_piped_exp_weu,loil_piped_imp,0
R12_EEU,R12_AFR,loil_piped_exp_afr,loil_piped_imp,0
R12_EEU,R12_RCPA,loil_piped_exp_rcpa,loil_piped_imp,0
R12_EEU,R12_CHN,loil_piped_exp_chn,loil_piped_imp,0
R12_EEU,R12_FSU,loil_piped_exp_fsu,loil_piped_imp,1
R12_EEU,R12_LAM,loil_piped_exp_lam,loil_piped_imp,0
R12_EEU,R12_MEA,loil_piped_exp_mea,loil_piped_imp,0
R12_EEU,R12_NAM,loil_piped_exp_nam,loil_piped_imp,0
R12_EEU,R12_PAO,loil_piped_exp_pao,loil_piped_imp,0
R12_EEU,R12_PAS,loil_piped_exp_pas,loil_piped_imp,0
R12_EEU,R12_SAS,loil_piped_exp_sas,loil_piped_imp,0
R12_EEU,R12_WEU,loil_piped_exp_weu,loil_piped_imp,1
R12_FSU,R12_AFR,loil_piped_exp_afr,loil_piped_imp,0
R12_FSU,R12_RCPA,loil_piped_exp_rcpa,loil_piped_imp,1
R12_FSU,R12_CHN,loil_piped_exp_chn,loil_piped_imp,1
R12_FSU,R12_EEU,loil_piped_exp_eeu,loil_piped_imp,1
R12_FSU,R12_LAM,loil_piped_exp_lam,loil_piped_imp,0
R12_FSU,R12_MEA,loil_piped_exp_mea,loil_piped_imp,1
R12_FSU,R12_NAM,loil_piped_exp_nam,loil_piped_imp,0
R12_FSU,R12_PAO,loil_piped_exp_pao,loil_piped_imp,0
