# Vehicle class split
# - Empty values are zero.
#
# NB (DLM 2014-04-10) All values for non-NAM regions are guesstimates for now
# TODO (PNK 2019-11-08) NAM values are computed from another Excel sheet;
#                       compute directly
vehicle class,  nam,  lam,  weu,  eeu,  fsu,  mea,  afr,  cpa,  pao,  pas,  sas
Mini compact,  0.02,     ,     ,     ,     ,     ,     ,     ,     ,     ,
Compact,       0.29, 0.85, 0.98, 0.98, 0.40, 0.25, 0.25, 0.98, 0.98, 0.25, 1.00
Full,          0.24, 0.10,     ,     , 0.30, 0.35, 0.35,     ,     , 0.35,
Small SUV,     0.07, 0.05,     ,     , 0.30, 0.20, 0.20,     ,     , 0.20,
Large SUV,     0.06,     ,     ,     ,     , 0.05, 0.05,     ,     , 0.05,
Minivan,       0.11,     , 0.02, 0.02,     , 0.10, 0.10, 0.02, 0.02, 0.10,
Pickup truck,  0.21,     ,     ,     ,     , 0.05, 0.05,     ,     , 0.05,
