# Input efficiency of MESSAGEix-GLOBIOM (base model) transport technologies
#
# Source: extracted from ixmp://ixmp-dev/SSP_dev_SSP2_v0.1/baseline_v0.1#1
#
# Units: GWa
#
technology,  year_vtg, year_act, mode, commodity, level, time, time_origin, value
coal_trp,    2020,     2020,     M1,   coal,      final, year, year,        3.3333333333333335
elec_trp,    2020,     2020,     M1,   electr,    final, year, year,        0.3333333333333333
eth_fc_trp,  2020,     2020,     M1,   ethanol,   final, year, year,        0.6666666666666666
eth_ic_trp,  2020,     2020,     M1,   ethanol,   final, year, year,        1.0
foil_trp,    2020,     2020,     M1,   fueloil,   final, year, year,        1.0
gas_trp,     2020,     2020,     M1,   gas,       final, year, year,        1.0
loil_trp,    2020,     2020,     M1,   lightoil,  final, year, year,        1.0
meth_fc_trp, 2020,     2020,     M1,   methanol,  final, year, year,        0.6666666666666666
meth_ic_trp, 2020,     2020,     M1,   methanol,  final, year, year,        1.0
