# Fuel consumption
#
# Source: data underlies "Figure 37. Fuel consumption range by type of powertrain
# and vehicle size, 2017"` in
# https://theicct.org/publications/gfei-tech-policy-drivers-2005-2017. Private
# correspondence from the report authors.
#
# Values correspond exclusively to new vehicle registrations in year 2017.
#
# Units: 0.01 Lge / vkm
#
Country,        FuelTypeReduced, value
Argentina,      Diesel,           8.2
Argentina,      Flexfuel,         9
Argentina,      Hybrid,           4.4
Argentina,      Petrol,           7.9
Australia,      Diesel,           8.5
Australia,      Electric,         1.6
Australia,      Hybrid,           4.7
Australia,      LPG,             10.6
Australia,      Petrol,           7.7
Australia,      Plug-in,          2.9
Austria,        CNG,              7.9
Austria,        Diesel,           5.6
Austria,        Electric,         2.4
Austria,        Flexfuel,        16.8
Austria,        Hybrid,           4.6
Austria,        LPG,              6.2
Austria,        Petrol,           6
Austria,        Plug-in,          6.7
Belgium,        CNG,              7.4
Belgium,        Diesel,           5.2
Belgium,        Electric,         2.2
Belgium,        Hybrid,           4.5
Belgium,        LPG,              6.7
Belgium,        Petrol,           6.1
Belgium,        Plug-in,          6.4
Brazil,         Diesel,          10
Brazil,         Electric,         2
Brazil,         Flexfuel,         7.3
Brazil,         Hybrid,           5.7
Brazil,         Petrol,           8.7
Brazil,         Plug-in,          3.1
Brazil,         Unspec.,         10.2
Bulgaria,       CNG,              6.8
Bulgaria,       Diesel,           5.4
Bulgaria,       Electric,         1.8
Bulgaria,       Hybrid,           4.5
Bulgaria,       LPG,              6.7
Bulgaria,       Petrol,           6.5
Bulgaria,       Plug-in,          4.5
Canada,         CNG,             19.8
Canada,         Diesel,           7.9
Canada,         Electric,         1.9
Canada,         Flexfuel,        10
Canada,         Hybrid,           5.1
Canada,         Petrol,           8.9
Canada,         Plug-in,          2.8
Chile,          Diesel,           7.8
Chile,          Electric,         1.9
Chile,          Hybrid,           4.8
Chile,          Petrol,           8.1
Chile,          Plug-in,          2.7
China,          CNG,              9.5
China,          Diesel,           8.5
China,          Electric,         1.6
