node_loc,technology,year_act,value,unit,mode,time
R12_NAM,oil_tanker_loil,2025,248877.721053,Mt-km,NAM-PAO,year
R12_NAM,oil_tanker_loil,2025,6686148.492562501,Mt-km,NAM-PAS,year
R12_NAM,oil_tanker_loil,2025,88796961.8613504,Mt-km,NAM-WEU,year
R12_PAO,oil_tanker_loil,2025,6636.3772455,Mt-km,PAO-AFR,year
R12_PAO,oil_tanker_loil,2025,9570720.985537501,Mt-km,PAO-CHN,year
R12_PAO,oil_tanker_loil,2025,83580.4419723,Mt-km,PAO-FSU,year
R12_PAO,oil_tanker_loil,2025,837899.1027458999,Mt-km,PAO-LAM,year
R12_PAO,oil_tanker_loil,2025,517882.43625210004,Mt-km,PAO-MEA,year
R12_PAO,oil_tanker_loil,2025,332645.6979108,Mt-km,PAO-NAM,year
R12_PAO,oil_tanker_loil,2025,304945901.0602092,Mt-km,PAO-PAS,year
R12_PAO,oil_tanker_loil,2025,194804.35334640002,Mt-km,PAO-SAS,year
R12_PAO,oil_tanker_loil,2025,90.023094,Mt-km,PAO-WEU,year
R12_PAS,oil_tanker_loil,2025,4479997.2975126,Mt-km,PAS-AFR,year
R12_PAS,oil_tanker_loil,2025,171919935.494811,Mt-km,PAS-CHN,year
R12_PAS,oil_tanker_loil,2025,2734993.2032316,Mt-km,PAS-FSU,year
R12_PAS,oil_tanker_loil,2025,1176925.8838644,Mt-km,PAS-LAM,year
R12_PAS,oil_tanker_loil,2025,246558321.802278,Mt-km,PAS-MEA,year
R12_PAS,oil_tanker_loil,2025,9879198.1377885,Mt-km,PAS-NAM,year
R12_PAS,oil_tanker_loil,2025,315888545.1861378,Mt-km,PAS-PAO,year
R12_PAS,oil_tanker_loil,2025,1908383.8876650003,Mt-km,PAS-RCPA,year
R12_PAS,oil_tanker_loil,2025,212213942.505459,Mt-km,PAS-SAS,year
R12_PAS,oil_tanker_loil,2025,194375.326509,Mt-km,PAS-WEU,year
R12_RCPA,oil_tanker_loil,2025,23224.22235,Mt-km,RCPA-CHN,year
R12_RCPA,oil_tanker_loil,2025,3796.4497842000005,Mt-km,RCPA-PAO,year
R12_RCPA,oil_tanker_loil,2025,1986235.8444720001,Mt-km,RCPA-PAS,year
R12_RCPA,oil_tanker_loil,2025,25.8709113,Mt-km,RCPA-SAS,year
R12_SAS,oil_tanker_loil,2025,9523418.027040001,Mt-km,SAS-AFR,year
R12_SAS,oil_tanker_loil,2025,132737.33096730002,Mt-km,SAS-CHN,year
R12_SAS,oil_tanker_loil,2025,653.380398,Mt-km,SAS-FSU,year
R12_SAS,oil_tanker_loil,2025,72181.26090450001,Mt-km,SAS-LAM,year
R12_SAS,oil_tanker_loil,2025,209679447.80925,Mt-km,SAS-MEA,year
R12_SAS,oil_tanker_loil,2025,35380.4360805,Mt-km,SAS-NAM,year
R12_SAS,oil_tanker_loil,2025,338496.3702792,Mt-km,SAS-PAO,year
R12_SAS,oil_tanker_loil,2025,89056730.458368,Mt-km,SAS-PAS,year
R12_WEU,oil_tanker_loil,2025,113826568.8721392,Mt-km,WEU-AFR,year
R12_WEU,oil_tanker_loil,2025,1300.8705624000002,Mt-km,WEU-CHN,year
R12_WEU,oil_tanker_loil,2025,11818137.254666401,Mt-km,WEU-EEU,year
R12_WEU,oil_tanker_loil,2025,81269447.44701959,Mt-km,WEU-FSU,year
R12_WEU,oil_tanker_loil,2025,27574256.1427371,Mt-km,WEU-LAM,year
R12_WEU,oil_tanker_loil,2025,118083658.062483,Mt-km,WEU-MEA,year
R12_WEU,oil_tanker_loil,2025,105758020.5848127,Mt-km,WEU-NAM,year
R12_WEU,oil_tanker_loil,2025,5485.3335108,Mt-km,WEU-PAO,year
R12_WEU,oil_tanker_loil,2025,251914.5462168,Mt-km,WEU-PAS,year
R12_WEU,oil_tanker_loil,2025,305.88965820000004,Mt-km,WEU-SAS,year
R12_AFR,oil_tanker_foil,2025,3706.0223377800003,Mt-km,AFR-CHN,year
R12_AFR,oil_tanker_foil,2025,570.525074,Mt-km,AFR-EEU,year
R12_AFR,oil_tanker_foil,2025,1898.7530228100004,Mt-km,AFR-FSU,year
R12_AFR,oil_tanker_foil,2025,103815.62443392,Mt-km,AFR-LAM,year
R12_AFR,oil_tanker_foil,2025,10584182.065894501,Mt-km,AFR-MEA,year
R12_AFR,oil_tanker_foil,2025,22416.090919180002,Mt-km,AFR-NAM,year
R12_AFR,oil_tanker_foil,2025,592.1866317500001,Mt-km,AFR-PAO,year
R12_AFR,oil_tanker_foil,2025,320368.94484021,Mt-km,AFR-PAS,year
R12_AFR,oil_tanker_foil,2025,303525.18630133,Mt-km,AFR-SAS,year
R12_AFR,oil_tanker_foil,2025,6767047.87897824,Mt-km,AFR-WEU,year
R12_CHN,oil_tanker_foil,2025,33.420427950000004,Mt-km,CHN-AFR,year
R12_CHN,oil_tanker_foil,2025,51765.73282972001,Mt-km,CHN-FSU,year
R12_CHN,oil_tanker_foil,2025,8881.13477307,Mt-km,CHN-LAM,year
R12_CHN,oil_tanker_foil,2025,50511.141525600004,Mt-km,CHN-MEA,year
R12_CHN,oil_tanker_foil,2025,13776.64834,Mt-km,CHN-NAM,year
R12_CHN,oil_tanker_foil,2025,818713.27501915,Mt-km,CHN-PAO,year
R12_CHN,oil_tanker_foil,2025,19713780.16669572,Mt-km,CHN-PAS,year
R12_CHN,oil_tanker_foil,2025,1624.7242837000001,Mt-km,CHN-RCPA,year
R12_CHN,oil_tanker_foil,2025,13996.096075500001,Mt-km,CHN-SAS,year
R12_CHN,oil_tanker_foil,2025,73.74348345000001,Mt-km,CHN-WEU,year
R12_EEU,oil_tanker_foil,2025,11177.0286152,Mt-km,EEU-AFR,year
R12_EEU,oil_tanker_foil,2025,309376.9032333,Mt-km,EEU-FSU,year
R12_EEU,oil_tanker_foil,2025,510.39202725,Mt-km,EEU-LAM,year
R12_EEU,oil_tanker_foil,2025,2568.10906947,Mt-km,EEU-MEA,year
R12_EEU,oil_tanker_foil,2025,8452.308791360001,Mt-km,EEU-NAM,year
R12_EEU,oil_tanker_foil,2025,344755.5165978,Mt-km,EEU-WEU,year
R12_FSU,oil_tanker_foil,2025,64.48002330000001,Mt-km,FSU-AFR,year
R12_FSU,oil_tanker_foil,2025,10950.672939360002,Mt-km,FSU-CHN,year
R12_FSU,oil_tanker_foil,2025,152277.79188664,Mt-km,FSU-EEU,year
R12_FSU,oil_tanker_foil,2025,469.55664504000003,Mt-km,FSU-LAM,year
R12_FSU,oil_tanker_foil,2025,8047.616033590001,Mt-km,FSU-MEA,year
R12_FSU,oil_tanker_foil,2025,17330.494726650002,Mt-km,FSU-NAM,year
R12_FSU,oil_tanker_foil,2025,8394.43297924,Mt-km,FSU-PAO,year
R12_FSU,oil_tanker_foil,2025,255447.48466951004,Mt-km,FSU-PAS,year
R12_FSU,oil_tanker_foil,2025,5.12013222,Mt-km,FSU-RCPA,year
R12_FSU,oil_tanker_foil,2025,249.8091673,Mt-km,FSU-SAS,year
R12_FSU,oil_tanker_foil,2025,9587497.194172801,Mt-km,FSU-WEU,year
R12_LAM,oil_tanker_foil,2025,87324.83675671,Mt-km,LAM-AFR,year
R12_LAM,oil_tanker_foil,2025,13842.199843080003,Mt-km,LAM-CHN,year
R12_LAM,oil_tanker_foil,2025,118.90345950000001,Mt-km,LAM-EEU,year
R12_LAM,oil_tanker_foil,2025,196.7110292,Mt-km,LAM-FSU,year
R12_LAM,oil_tanker_foil,2025,35520.15212032,Mt-km,LAM-MEA,year
R12_LAM,oil_tanker_foil,2025,23389863.54187028,Mt-km,LAM-NAM,year
R12_LAM,oil_tanker_foil,2025,196271.11859838,Mt-km,LAM-PAO,year
R12_LAM,oil_tanker_foil,2025,587050.65894839,Mt-km,LAM-PAS,year
R12_LAM,oil_tanker_foil,2025,1991.0967207600002,Mt-km,LAM-SAS,year
R12_LAM,oil_tanker_foil,2025,3127513.9679918406,Mt-km,LAM-WEU,year
R12_MEA,oil_tanker_foil,2025,8679781.5942915,Mt-km,MEA-AFR,year
R12_MEA,oil_tanker_foil,2025,168053.4849469,Mt-km,MEA-CHN,year
R12_MEA,oil_tanker_foil,2025,423.90278287000007,Mt-km,MEA-EEU,year
R12_MEA,oil_tanker_foil,2025,3148.65323591,Mt-km,MEA-FSU,year
R12_MEA,oil_tanker_foil,2025,21615.22277376,Mt-km,MEA-LAM,year
R12_MEA,oil_tanker_foil,2025,91735.70677320001,Mt-km,MEA-NAM,year
R12_MEA,oil_tanker_foil,2025,944097.2851376501,Mt-km,MEA-PAO,year
R12_MEA,oil_tanker_foil,2025,22601915.22078616,Mt-km,MEA-PAS,year
R12_MEA,oil_tanker_foil,2025,3.24642276,Mt-km,MEA-RCPA,year
R12_MEA,oil_tanker_foil,2025,9938748.59280912,Mt-km,MEA-SAS,year
R12_MEA,oil_tanker_foil,2025,12000531.09837988,Mt-km,MEA-WEU,year
R12_NAM,oil_tanker_foil,2025,30657.354404040005,Mt-km,NAM-AFR,year
R12_NAM,oil_tanker_foil,2025,8502.76970613,Mt-km,NAM-CHN,year
R12_NAM,oil_tanker_foil,2025,595.97597136,Mt-km,NAM-EEU,year
R12_NAM,oil_tanker_foil,2025,18976.22090056,Mt-km,NAM-FSU,year
R12_NAM,oil_tanker_foil,2025,30328077.845452596,Mt-km,NAM-LAM,year
R12_NAM,oil_tanker_foil,2025,25574.28114885,Mt-km,NAM-MEA,year
R12_NAM,oil_tanker_foil,2025,19357.1560819,Mt-km,NAM-PAO,year
R12_NAM,oil_tanker_foil,2025,520033.7716437501,Mt-km,NAM-PAS,year
R12_NAM,oil_tanker_foil,2025,6906430.366993921,Mt-km,NAM-WEU,year
R12_PAO,oil_tanker_foil,2025,516.16267465,Mt-km,PAO-AFR,year
R12_PAO,oil_tanker_foil,2025,744389.4099862501,Mt-km,PAO-CHN,year
R12_PAO,oil_tanker_foil,2025,6500.701042290001,Mt-km,PAO-FSU,year
R12_PAO,oil_tanker_foil,2025,65169.930213570005,Mt-km,PAO-LAM,year
R12_PAO,oil_tanker_foil,2025,40279.74504183001,Mt-km,PAO-MEA,year
R12_PAO,oil_tanker_foil,2025,25872.44317084,Mt-km,PAO-NAM,year
R12_PAO,oil_tanker_foil,2025,23718014.526905164,Mt-km,PAO-PAS,year
R12_PAO,oil_tanker_foil,2025,15151.449704720002,Mt-km,PAO-SAS,year
R12_PAO,oil_tanker_foil,2025,7.001796200000001,Mt-km,PAO-WEU,year
R12_PAS,oil_tanker_foil,2025,348444.23425098,Mt-km,PAS-AFR,year
R12_PAS,oil_tanker_foil,2025,13371550.538485302,Mt-km,PAS-CHN,year
R12_PAS,oil_tanker_foil,2025,212721.69358468003,Mt-km,PAS-FSU,year
R12_PAS,oil_tanker_foil,2025,91538.67985612001,Mt-km,PAS-LAM,year
R12_PAS,oil_tanker_foil,2025,19176758.362399403,Mt-km,PAS-MEA,year
R12_PAS,oil_tanker_foil,2025,768382.07738355,Mt-km,PAS-NAM,year
R12_PAS,oil_tanker_foil,2025,24569109.07003294,Mt-km,PAS-PAO,year
R12_PAS,oil_tanker_foil,2025,148429.85792950002,Mt-km,PAS-RCPA,year
R12_PAS,oil_tanker_foil,2025,16505528.861535702,Mt-km,PAS-SAS,year
R12_PAS,oil_tanker_foil,2025,15118.080950700001,Mt-km,PAS-WEU,year
R12_RCPA,oil_tanker_foil,2025,1806.3284050000002,Mt-km,RCPA-CHN,year
R12_RCPA,oil_tanker_foil,2025,295.27942766000007,Mt-km,RCPA-PAO,year
R12_RCPA,oil_tanker_foil,2025,154485.01012560003,Mt-km,RCPA-PAS,year
R12_RCPA,oil_tanker_foil,2025,2.01218199,Mt-km,RCPA-SAS,year
R12_SAS,oil_tanker_foil,2025,740710.290992,Mt-km,SAS-AFR,year
R12_SAS,oil_tanker_foil,2025,10324.014630790001,Mt-km,SAS-CHN,year
R12_SAS,oil_tanker_foil,2025,50.818475400000004,Mt-km,SAS-FSU,year
R12_SAS,oil_tanker_foil,2025,5614.098070350001,Mt-km,SAS-LAM,year
R12_SAS,oil_tanker_foil,2025,16308401.496275,Mt-km,SAS-MEA,year
R12_SAS,oil_tanker_foil,2025,2751.8116951500006,Mt-km,SAS-NAM,year
R12_SAS,oil_tanker_foil,2025,26327.495466160002,Mt-km,SAS-PAO,year
R12_SAS,oil_tanker_foil,2025,6926634.591206401,Mt-km,SAS-PAS,year
R12_WEU,oil_tanker_foil,2025,8853177.578944162,Mt-km,WEU-AFR,year
R12_WEU,oil_tanker_foil,2025,101.17882152000001,Mt-km,WEU-CHN,year
R12_WEU,oil_tanker_foil,2025,919188.4531407201,Mt-km,WEU-EEU,year
R12_WEU,oil_tanker_foil,2025,6320957.02365708,Mt-km,WEU-FSU,year
R12_WEU,oil_tanker_foil,2025,2144664.36665733,Mt-km,WEU-LAM,year
R12_WEU,oil_tanker_foil,2025,9184284.5159709,Mt-km,WEU-MEA,year
R12_WEU,oil_tanker_foil,2025,8225623.823263211,Mt-km,WEU-NAM,year
R12_WEU,oil_tanker_foil,2025,426.63705084000003,Mt-km,WEU-PAO,year
R12_WEU,oil_tanker_foil,2025,19593.35359464,Mt-km,WEU-PAS,year
R12_WEU,oil_tanker_foil,2025,23.791417860000003,Mt-km,WEU-SAS,year
