node_loc,technology,node_rel,relation,year_rel,year_act,mode,value,unit
R12_AFR,gas_piped_exp_mea,R12_AFR,gas_pipe_mea,broadcast,broadcast,M1,-30.0,km
R12_AFR,gas_piped_exp_weu,R12_AFR,gas_pipe_weu,broadcast,broadcast,M1,-30.0,km
R12_CHN,gas_piped_exp_fsu,R12_CHN,gas_pipe_fsu,broadcast,broadcast,M1,-30.0,km
R12_EEU,gas_piped_exp_fsu,R12_EEU,gas_pipe_fsu,broadcast,broadcast,M1,-16.802235349413824,km
R12_EEU,gas_piped_exp_weu,R12_EEU,gas_pipe_weu,broadcast,broadcast,M1,-22.249054653039266,km
R12_FSU,gas_piped_exp_chn,R12_FSU,gas_pipe_chn,broadcast,broadcast,M1,-30.0,km
R12_FSU,gas_piped_exp_eeu,R12_FSU,gas_pipe_eeu,broadcast,broadcast,M1,-17.340623682545584,km
R12_FSU,gas_piped_exp_mea,R12_FSU,gas_pipe_mea,broadcast,broadcast,M1,-30.0,km
R12_FSU,gas_piped_exp_pao,R12_FSU,gas_pipe_pao,broadcast,broadcast,M1,-30.0,km
R12_FSU,gas_piped_exp_pas,R12_FSU,gas_pipe_pas,broadcast,broadcast,M1,-30.0,km
R12_FSU,gas_piped_exp_sas,R12_FSU,gas_pipe_sas,broadcast,broadcast,M1,-30.0,km
R12_FSU,gas_piped_exp_weu,R12_FSU,gas_pipe_weu,broadcast,broadcast,M1,-30.0,km
R12_LAM,gas_piped_exp_nam,R12_LAM,gas_pipe_nam,broadcast,broadcast,M1,-30.0,km
R12_MEA,gas_piped_exp_afr,R12_MEA,gas_pipe_afr,broadcast,broadcast,M1,-30.0,km
R12_MEA,gas_piped_exp_eeu,R12_MEA,gas_pipe_eeu,broadcast,broadcast,M1,-30.0,km
R12_MEA,gas_piped_exp_fsu,R12_MEA,gas_pipe_fsu,broadcast,broadcast,M1,-30.0,km
R12_MEA,gas_piped_exp_sas,R12_MEA,gas_pipe_sas,broadcast,broadcast,M1,-30.0,km
R12_MEA,gas_piped_exp_weu,R12_MEA,gas_pipe_weu,broadcast,broadcast,M1,-30.0,km
R12_NAM,gas_piped_exp_lam,R12_NAM,gas_pipe_lam,broadcast,broadcast,M1,-27.85851962629206,km
R12_PAO,gas_piped_exp_fsu,R12_PAO,gas_pipe_fsu,broadcast,broadcast,M1,-30.0,km
R12_PAS,gas_piped_exp_chn,R12_PAS,gas_pipe_chn,broadcast,broadcast,M1,-30.0,km
R12_PAS,gas_piped_exp_fsu,R12_PAS,gas_pipe_fsu,broadcast,broadcast,M1,-30.0,km
R12_PAS,gas_piped_exp_pao,R12_PAS,gas_pipe_pao,broadcast,broadcast,M1,-30.0,km
R12_SAS,gas_piped_exp_fsu,R12_SAS,gas_pipe_fsu,broadcast,broadcast,M1,-30.0,km
R12_SAS,gas_piped_exp_mea,R12_SAS,gas_pipe_mea,broadcast,broadcast,M1,-30.0,km
R12_SAS,gas_piped_exp_pas,R12_SAS,gas_pipe_pas,broadcast,broadcast,M1,-30.0,km
R12_WEU,gas_piped_exp_afr,R12_WEU,gas_pipe_afr,broadcast,broadcast,M1,-30.0,km
R12_WEU,gas_piped_exp_eeu,R12_WEU,gas_pipe_eeu,broadcast,broadcast,M1,-30.0,km
R12_WEU,gas_piped_exp_fsu,R12_WEU,gas_pipe_fsu,broadcast,broadcast,M1,-30.0,km
R12_WEU,gas_piped_exp_mea,R12_WEU,gas_pipe_mea,broadcast,broadcast,M1,-30.0,km
R12_AFR,gas_pipe_mea,R12_AFR,gas_pipe_mea,broadcast,broadcast,M1,1.0,km
R12_AFR,gas_pipe_weu,R12_AFR,gas_pipe_weu,broadcast,broadcast,M1,1.0,km
R12_CHN,gas_pipe_fsu,R12_CHN,gas_pipe_fsu,broadcast,broadcast,M1,1.0,km
R12_EEU,gas_pipe_fsu,R12_EEU,gas_pipe_fsu,broadcast,broadcast,M1,1.0,km
R12_EEU,gas_pipe_weu,R12_EEU,gas_pipe_weu,broadcast,broadcast,M1,1.0,km
R12_FSU,gas_pipe_chn,R12_FSU,gas_pipe_chn,broadcast,broadcast,M1,1.0,km
R12_FSU,gas_pipe_eeu,R12_FSU,gas_pipe_eeu,broadcast,broadcast,M1,1.0,km
R12_FSU,gas_pipe_mea,R12_FSU,gas_pipe_mea,broadcast,broadcast,M1,1.0,km
R12_FSU,gas_pipe_pao,R12_FSU,gas_pipe_pao,broadcast,broadcast,M1,1.0,km
R12_FSU,gas_pipe_pas,R12_FSU,gas_pipe_pas,broadcast,broadcast,M1,1.0,km
R12_FSU,gas_pipe_sas,R12_FSU,gas_pipe_sas,broadcast,broadcast,M1,1.0,km
R12_FSU,gas_pipe_weu,R12_FSU,gas_pipe_weu,broadcast,broadcast,M1,1.0,km
R12_LAM,gas_pipe_nam,R12_LAM,gas_pipe_nam,broadcast,broadcast,M1,1.0,km
R12_MEA,gas_pipe_afr,R12_MEA,gas_pipe_afr,broadcast,broadcast,M1,1.0,km
R12_MEA,gas_pipe_eeu,R12_MEA,gas_pipe_eeu,broadcast,broadcast,M1,1.0,km
R12_MEA,gas_pipe_fsu,R12_MEA,gas_pipe_fsu,broadcast,broadcast,M1,1.0,km
R12_MEA,gas_pipe_sas,R12_MEA,gas_pipe_sas,broadcast,broadcast,M1,1.0,km
R12_MEA,gas_pipe_weu,R12_MEA,gas_pipe_weu,broadcast,broadcast,M1,1.0,km
R12_NAM,gas_pipe_lam,R12_NAM,gas_pipe_lam,broadcast,broadcast,M1,1.0,km
R12_PAO,gas_pipe_fsu,R12_PAO,gas_pipe_fsu,broadcast,broadcast,M1,1.0,km
R12_PAS,gas_pipe_chn,R12_PAS,gas_pipe_chn,broadcast,broadcast,M1,1.0,km
R12_PAS,gas_pipe_fsu,R12_PAS,gas_pipe_fsu,broadcast,broadcast,M1,1.0,km
R12_PAS,gas_pipe_pao,R12_PAS,gas_pipe_pao,broadcast,broadcast,M1,1.0,km
R12_SAS,gas_pipe_fsu,R12_SAS,gas_pipe_fsu,broadcast,broadcast,M1,1.0,km
R12_SAS,gas_pipe_mea,R12_SAS,gas_pipe_mea,broadcast,broadcast,M1,1.0,km
