,EXPORTER,IMPORTER,YEAR,CapacityBOEd,CostUSD,LengthMergedKm,Capacity (BOEa),Capacity (TJ),Capacity (GWa),InvCost (USD/km),Capacity (GWa/km),trade_technology,flow_technology
0,R12_EEU,R12_FSU,1950.0,87036.16,0.0,203.0,31768198.400000002,190609.19040000002,6.0445986459648005,0.0,0.02977634800967882,gas_piped,gas_pipe
1,R12_EEU,R12_FSU,1960.0,87036.16,0.0,114.0,31768198.400000002,190609.19040000002,6.0445986459648005,0.0,0.05302279514004211,gas_piped,gas_pipe
2,R12_EEU,R12_FSU,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_piped,gas_pipe
3,R12_EEU,R12_FSU,2005.0,,,,,,,,,gas_piped,gas_pipe
4,R12_EEU,R12_FSU,2010.0,,,,,,,,,gas_piped,gas_pipe
5,R12_EEU,R12_FSU,2015.0,161178.08,0.0,22.88,58829999.199999996,352979.9952,11.1937016077824,0.0,0.48923521013034965,gas_piped,gas_pipe
6,R12_EEU,R12_FSU,2020.0,153119.18,498130000.0,230.0,55888500.699999996,335331.00419999997,10.634016805190399,46843070.60309194,0.046234855674740866,gas_piped,gas_pipe
7,R12_EEU,R12_FSU,2025.0,,,,,,,,,gas_piped,gas_pipe
8,R12_EEU,R12_WEU,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_piped,gas_pipe
9,R12_EEU,R12_WEU,2005.0,,,,,,,,,gas_piped,gas_pipe
10,R12_EEU,R12_WEU,2010.0,,,,,,,,,gas_piped,gas_pipe
11,R12_EEU,R12_WEU,2015.0,644712.33,425100000.0,294.0,235320000.45,1411920.0027,44.774807125622395,9494178.250892708,0.15229526233204896,gas_piped,gas_pipe
12,R12_EEU,R12_WEU,2020.0,443239.73,588600000.0,150.0,161782501.45,970695.0087,30.782680115894397,19121142.07677716,0.205217867439296,gas_piped,gas_pipe
13,R12_EEU,R12_WEU,2025.0,342358.36,3057450000.0,1399.0,124960801.39999999,749764.8084,23.776541603980796,128591031.06433718,0.016995383562530948,gas_piped,gas_pipe
14,R12_FSU,R12_CHN,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gas_piped,gas_pipe
15,R12_FSU,R12_CHN,2005.0,,,,,,,,,gas_piped,gas_pipe
16,R12_FSU,R12_CHN,2010.0,483534.24,0.0,3666.0,176489997.6,1058939.9856,33.5811048233472,0.0,0.009160148615206545,gas_piped,gas_pipe
17,R12_FSU,R12_CHN,2015.0,411004.11000000004,0.0,1925.5,150016500.15,900099.0009000001,28.5439395165408,0.0,0.01482417009428242,gas_piped,gas_pipe
18,R12_FSU,R12_CHN,2020.0,483534.25,6700000000.0,966.0,176490001.25,1058940.0075,33.58110551784,199516957.42835557,0.03476304919031056,gas_piped,gas_pipe
19,R12_FSU,R12_CHN,2025.0,322356.16,0.0,25.0,117659998.39999999,705959.9904,22.3874032155648,0.0,0.895496128622592,gas_piped,gas_pipe
20,R12_FSU,R12_EEU,1960.0,9670.68,0.0,221.28,3529798.2,21178.789200000003,0.6716217631104,0.0,0.0030351670422559653,gas_piped,gas_pipe
21,R12_FSU,R12_EEU,1970.0,43518.08,0.0,365.0,15884099.200000001,95304.59520000001,3.0222993229824002,0.0,0.008280272117760001,gas_piped,gas_pipe
22,R12_FSU,R12_EEU,1975.0,32235.62,0.0,91.78,11766001.299999999,70596.00779999999,2.2387405993535996,0.0,0.024392466761316185,gas_piped,gas_pipe
