# Disutility costs
#
# Source:
# - Duplicated manually from corresponding R12 data as of 2025-04-07.
#
# Units: kUSD / vehicle
#
node,     consumer_group, technology, year, value
Austria,  RUEAA,          ELC_100,    2020,   3.946
Austria,  RUEAA,          ELC_100,    2030,   5.695
Austria,  RUEAA,          ELC_100,    2040,   5.471
Austria,  RUEAA,          ELC_100,    2050,   5.47
Austria,  RUEAA,          ELC_100,    2060,   5.049
Austria,  RUEAA,          ELC_100,    2070,   4.997
Austria,  RUEAA,          ELC_100,    2080,   4.968
Austria,  RUEAA,          ELC_100,    2090,   4.909
Austria,  RUEAA,          ELC_100,    2100,   4.879
Austria,  RUEAA,          HFC_ptrp,   2020,  36.095
Austria,  RUEAA,          HFC_ptrp,   2030,  34.871
Austria,  RUEAA,          HFC_ptrp,   2040,  34.782
Austria,  RUEAA,          HFC_ptrp,   2050,  34.845
Austria,  RUEAA,          HFC_ptrp,   2060,  34.515
Austria,  RUEAA,          HFC_ptrp,   2070,  34.474
Austria,  RUEAA,          HFC_ptrp,   2080,  34.452
Austria,  RUEAA,          HFC_ptrp,   2090,  34.406
Austria,  RUEAA,          HFC_ptrp,   2100,  34.382
Austria,  RUEAA,          IAHe_ptrp,  2020,   0.128
Austria,  RUEAA,          IAHe_ptrp,  2030,  -0.291
Austria,  RUEAA,          IAHe_ptrp,  2040,  -0.475
Austria,  RUEAA,          IAHe_ptrp,  2050,  -0.268
Austria,  RUEAA,          IAHe_ptrp,  2060,  -0.369
Austria,  RUEAA,          IAHe_ptrp,  2070,  -0.381
Austria,  RUEAA,          IAHe_ptrp,  2080,  -0.388
Austria,  RUEAA,          IAHe_ptrp,  2090,  -0.402
Austria,  RUEAA,          IAHe_ptrp,  2100,  -0.41
Austria,  RUEAA,          IAHm_ptrp,  2020,   0.128
Austria,  RUEAA,          IAHm_ptrp,  2030,  -0.291
Austria,  RUEAA,          IAHm_ptrp,  2040,  -0.475
Austria,  RUEAA,          IAHm_ptrp,  2050,  -0.268
Austria,  RUEAA,          IAHm_ptrp,  2060,  -0.369
Austria,  RUEAA,          IAHm_ptrp,  2070,  -0.381
Austria,  RUEAA,          IAHm_ptrp,  2080,  -0.388
Austria,  RUEAA,          IAHm_ptrp,  2090,  -0.402
Austria,  RUEAA,          IAHm_ptrp,  2100,  -0.41
Austria,  RUEAA,          ICAe_ffv,   2020,   0.0
Austria,  RUEAA,          ICAe_ffv,   2030,   0.0
Austria,  RUEAA,          ICAe_ffv,   2040,   0.0
Austria,  RUEAA,          ICAe_ffv,   2050,   0.0
Austria,  RUEAA,          ICAe_ffv,   2060,   0.0
Austria,  RUEAA,          ICAe_ffv,   2070,   0.0
Austria,  RUEAA,          ICAe_ffv,   2080,   0.0
Austria,  RUEAA,          ICAe_ffv,   2090,   0.0
Austria,  RUEAA,          ICAe_ffv,   2100,   0.0
Austria,  RUEAA,          ICAm_ptrp,  2020,   0.0
Austria,  RUEAA,          ICAm_ptrp,  2030,   0.0
Austria,  RUEAA,          ICAm_ptrp,  2040,   0.0
Austria,  RUEAA,          ICAm_ptrp,  2050,   0.0
Austria,  RUEAA,          ICAm_ptrp,  2060,   0.0
Austria,  RUEAA,          ICAm_ptrp,  2070,   0.0
Austria,  RUEAA,          ICAm_ptrp,  2080,   0.0
Austria,  RUEAA,          ICAm_ptrp,  2090,   0.0
Austria,  RUEAA,          ICAm_ptrp,  2100,   0.0
Austria,  RUEAA,          ICE_L_ptrp, 2020,  -0.0382
Austria,  RUEAA,          ICE_L_ptrp, 2030,   0.151
Austria,  RUEAA,          ICE_L_ptrp, 2040,   0.219
Austria,  RUEAA,          ICE_L_ptrp, 2050,   0.267
Austria,  RUEAA,          ICE_L_ptrp, 2060,   0.367
Austria,  RUEAA,          ICE_L_ptrp, 2070,   0.38
Austria,  RUEAA,          ICE_L_ptrp, 2080,   0.386
Austria,  RUEAA,          ICE_L_ptrp, 2090,   0.4
Austria,  RUEAA,          ICE_L_ptrp, 2100,   0.407
Austria,  RUEAA,          ICE_conv,   2020,   0.0
Austria,  RUEAA,          ICE_conv,   2030,   0.0
Austria,  RUEAA,          ICE_conv,   2040,   0.0
Austria,  RUEAA,          ICE_conv,   2050,   0.0
Austria,  RUEAA,          ICE_conv,   2060,   0.0
Austria,  RUEAA,          ICE_conv,   2070,   0.0
Austria,  RUEAA,          ICE_conv,   2080,   0.0
Austria,  RUEAA,          ICE_conv,   2090,   0.0
Austria,  RUEAA,          ICE_conv,   2100,   0.0
Austria,  RUEAA,          ICE_nga,    2020,   9.456
Austria,  RUEAA,          ICE_nga,    2030,   8.931
Austria,  RUEAA,          ICE_nga,    2040,   9.054
Austria,  RUEAA,          ICE_nga,    2050,   8.882
Austria,  RUEAA,          ICE_nga,    2060,   8.711
Austria,  RUEAA,          ICE_nga,    2070,   8.69
Austria,  RUEAA,          ICE_nga,    2080,   8.678
Austria,  RUEAA,          ICE_nga,    2090,   8.654
Austria,  RUEAA,          ICE_nga,    2100,   8.642
Austria,  RUEAA,          ICH_chyb,   2020,   0.128
Austria,  RUEAA,          ICH_chyb,   2030,  -0.291
Austria,  RUEAA,          ICH_chyb,   2040,  -0.475
Austria,  RUEAA,          ICH_chyb,   2050,  -0.268
Austria,  RUEAA,          ICH_chyb,   2060,  -0.369
Austria,  RUEAA,          ICH_chyb,   2070,  -0.381
Austria,  RUEAA,          ICH_chyb,   2080,  -0.388
Austria,  RUEAA,          ICH_chyb,   2090,  -0.402
Austria,  RUEAA,          ICH_chyb,   2100,  -0.41
Austria,  RUEAA,          IGH_ghyb,   2020,   9.484
Austria,  RUEAA,          IGH_ghyb,   2030,   8.711
Austria,  RUEAA,          IGH_ghyb,   2040,   8.929
Austria,  RUEAA,          IGH_ghyb,   2050,   8.852
Austria,  RUEAA,          IGH_ghyb,   2060,   8.696
Austria,  RUEAA,          IGH_ghyb,   2070,   8.677
Austria,  RUEAA,          IGH_ghyb,   2080,   8.666
Austria,  RUEAA,          IGH_ghyb,   2090,   8.645
Austria,  RUEAA,          IGH_ghyb,   2100,   8.634
Austria,  RUEAA,          PHEV_ptrp,  2020,   3.27
Austria,  RUEAA,          PHEV_ptrp,  2030,   5.238
Austria,  RUEAA,          PHEV_ptrp,  2040,   4.82
Austria,  RUEAA,          PHEV_ptrp,  2050,   4.895
Austria,  RUEAA,          PHEV_ptrp,  2060,   4.452
Austria,  RUEAA,          PHEV_ptrp,  2070,   4.398
Austria,  RUEAA,          PHEV_ptrp,  2080,   4.368
Austria,  RUEAA,          PHEV_ptrp,  2090,   4.306
Austria,  RUEAA,          PHEV_ptrp,  2100,   4.274
Austria,  RUEAF,          ELC_100,    2020,   5.999
Austria,  RUEAF,          ELC_100,    2030,   7.748
Austria,  RUEAF,          ELC_100,    2040,   7.524
Austria,  RUEAF,          ELC_100,    2050,   7.523
Austria,  RUEAF,          ELC_100,    2060,   7.101
Austria,  RUEAF,          ELC_100,    2070,   7.049
Austria,  RUEAF,          ELC_100,    2080,   7.021
Austria,  RUEAF,          ELC_100,    2090,   6.961
Austria,  RUEAF,          ELC_100,    2100,   6.932
Austria,  RUEAF,          HFC_ptrp,   2020,  59.432
Austria,  RUEAF,          HFC_ptrp,   2030,  58.208
Austria,  RUEAF,          HFC_ptrp,   2040,  58.12
Austria,  RUEAF,          HFC_ptrp,   2050,  58.182
Austria,  RUEAF,          HFC_ptrp,   2060,  57.852
Austria,  RUEAF,          HFC_ptrp,   2070,  57.812
Austria,  RUEAF,          HFC_ptrp,   2080,  57.789
Austria,  RUEAF,          HFC_ptrp,   2090,  57.743
Austria,  RUEAF,          HFC_ptrp,   2100,  57.72
Austria,  RUEAF,          IAHe_ptrp,  2020,   0.128
Austria,  RUEAF,          IAHe_ptrp,  2030,  -0.291
Austria,  RUEAF,          IAHe_ptrp,  2040,  -0.475
Austria,  RUEAF,          IAHe_ptrp,  2050,  -0.268
Austria,  RUEAF,          IAHe_ptrp,  2060,  -0.369
Austria,  RUEAF,          IAHe_ptrp,  2070,  -0.381
Austria,  RUEAF,          IAHe_ptrp,  2080,  -0.388
Austria,  RUEAF,          IAHe_ptrp,  2090,  -0.402
Austria,  RUEAF,          IAHe_ptrp,  2100,  -0.41
Austria,  RUEAF,          IAHm_ptrp,  2020,   0.128
Austria,  RUEAF,          IAHm_ptrp,  2030,  -0.291
