# “Elasticity” of PDT-capita with respect to GDP
#
# - The code that handles this file interpolates on the ‘year’
#   dimension.
#
# Source:
# - Duplicated manually from corresponding R12 data as of 2025-04-07.
#
#
# Units: dimensionless
#
scenario,    node,     year, value
SSP(2024).1, Austria,  2020, 1
SSP(2024).1, Austria,  2025, 1
SSP(2024).1, Austria,  2050, 0.50
SSP(2024).1, Austria,  2110, 0.50

SSP(2024).2, Austria,  2020, 1.0
SSP(2024).2, Austria,  2040, 0.8
SSP(2024).2, Austria,  2110, 0.8

SSP(2024).3, Austria,  2020, 1.0
SSP(2024).3, Austria,  2040, 1.0
SSP(2024).3, Austria,  2110, 1.0

SSP(2024).4, Austria,  2020, 0.8
SSP(2024).4, Austria,  2110, 0.8

SSP(2024).5, Austria,  2020, 1.0
SSP(2024).5, Austria,  2110, 1.0
