# Projected passenger-distance travelled (PDT) per capita
#
# Source:
# - Duplicated manually from corresponding R12 data as of 2025-04-07.
#
# Units: km / year
#
scenario, node,     technology, year, value
LED,      Austria,  2W,         2020,   300
LED,      Austria,  2W,         2025,   294.1039962768555
LED,      Austria,  2W,         2030,   288.2079925537109
LED,      Austria,  2W,         2035,   282.3119888305664
LED,      Austria,  2W,         2040,   276.4159851074219
LED,      Austria,  2W,         2045,   270.5199813842773
LED,      Austria,  2W,         2050,   264.6239776611328
LED,      Austria,  2W,         2055,   258.7279739379883
LED,      Austria,  2W,         2060,   252.8319702148438
LED,      Austria,  2W,         2070,   241.0399627685547
LED,      Austria,  2W,         2080,   229.2479553222656
LED,      Austria,  2W,         2090,   217.4559478759766
LED,      Austria,  2W,         2100,   205.6639404296875
LED,      Austria,  2W,         2110,   193.8719329833984
LED,      Austria,  AIR,        2020,  1350
LED,      Austria,  AIR,        2025,  1359.249403211805
LED,      Austria,  AIR,        2030,  1368.49880642361
LED,      Austria,  AIR,        2035,  1377.748209635417
LED,      Austria,  AIR,        2040,  1386.997612847222
LED,      Austria,  AIR,        2045,  1396.247016059028
LED,      Austria,  AIR,        2050,  1405.496419270833
LED,      Austria,  AIR,        2055,  1414.74582248264
LED,      Austria,  AIR,        2060,  1423.995225694445
LED,      Austria,  AIR,        2070,  1442.494032118055
LED,      Austria,  AIR,        2080,  1460.992838541667
LED,      Austria,  AIR,        2090,  1479.491644965278
LED,      Austria,  AIR,        2100,  1497.99045138889
LED,      Austria,  AIR,        2110,  1516.4892578125
LED,      Austria,  BUS,        2020,  1050
LED,      Austria,  BUS,        2025,  1265.618136935766
LED,      Austria,  BUS,        2030,  1481.236273871531
LED,      Austria,  BUS,        2035,  1696.854410807297
LED,      Austria,  BUS,        2040,  1912.472547743062
LED,      Austria,  BUS,        2045,  2128.090684678828
LED,      Austria,  BUS,        2050,  2343.708821614593
LED,      Austria,  BUS,        2055,  2559.326958550359
LED,      Austria,  BUS,        2060,  2774.945095486124
LED,      Austria,  BUS,        2070,  3206.181369357641
LED,      Austria,  BUS,        2080,  3637.417643229172
LED,      Austria,  BUS,        2090,  4068.653917100703
LED,      Austria,  BUS,        2100,  4499.890190972234
LED,      Austria,  BUS,        2110,  4931.12646484375
LED,      Austria,  LDV,        2020, 10650
LED,      Austria,  LDV,        2025, 10349.64171006944
LED,      Austria,  LDV,        2030, 10049.28342013888
LED,      Austria,  LDV,        2035,  9748.925130208321
LED,      Austria,  LDV,        2040,  9448.566840277759
LED,      Austria,  LDV,        2045,  9148.208550347221
LED,      Austria,  LDV,        2050,  8847.850260416657
LED,      Austria,  LDV,        2055,  8547.491970486095
LED,      Austria,  LDV,        2060,  8247.133680555555
LED,      Austria,  LDV,        2070,  7646.417100694438
LED,      Austria,  LDV,        2080,  7045.700520833324
LED,      Austria,  LDV,        2090,  6444.983940972219
LED,      Austria,  LDV,        2100,  5844.267361111095
LED,      Austria,  LDV,        2110,  5243.55078125
LED,      Austria,  RAIL,       2020,  1650
LED,      Austria,  RAIL,       2025,  2030.9521484375
LED,      Austria,  RAIL,       2030,  2411.904296875
LED,      Austria,  RAIL,       2035,  2792.8564453125
LED,      Austria,  RAIL,       2040,  3173.80859375
LED,      Austria,  RAIL,       2045,  3554.7607421875
LED,      Austria,  RAIL,       2050,  3935.712890625
LED,      Austria,  RAIL,       2055,  4316.6650390625
LED,      Austria,  RAIL,       2060,  4697.6171875
LED,      Austria,  RAIL,       2070,  5459.521484375
LED,      Austria,  RAIL,       2080,  6221.42578125
LED,      Austria,  RAIL,       2090,  6983.330078125
LED,      Austria,  RAIL,       2100,  7745.234375
LED,      Austria,  RAIL,       2110,  8507.138671875
