Region,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110
AFR,28.377,30.576,32.599,34.802,37.111,39.8045,42.498,45.0185,47.539,49.882,52.225,54.3755,56.526,58.473,60.42,63.927,67.057,69.84,72.312,72.312
CPA,26.894,31.077,35.657,41.963,46.178,49.8965,53.615,56.6675,59.72,62.18,64.64,66.6215,68.603,70.2155,71.828,74.481,76.69,78.547,80.122,80.122
EEU,59.286,59.794,59.836,60.486,61.408,63.999,66.59,68.656,70.722,72.3835,74.045,75.4035,76.762,77.8845,79.007,80.879,82.46,83.809,84.966,84.966
FSU,65.41,64.869,64.427,64.086,64.256,66.2495,68.243,70.0165,71.79,73.3815,74.973,76.392,77.811,79.068,80.325,82.498,84.368,85.968,87.326,87.326
LAM,70.351,72.981,75.383,77.638,79.524,81.038,82.552,83.754,84.956,85.9245,86.893,87.6835,88.474,89.126,89.778,90.856,91.757,92.521,93.173,93.173
MEA,52.081,54.147,55.949,57.763,59.829,62.2705,64.712,66.7395,68.767,70.4905,72.214,73.676,75.138,76.3755,77.613,79.705,81.483,83.017,84.35,84.35
NAM,75.393,77.421,79.321,80.908,82.303,83.6955,85.088,86.2925,87.497,88.5315,89.566,90.4475,91.329,92.0735,92.818,94.07,95.117,95.987,96.709,96.709
PAO,66.28,67.814,68.575,69.518,70.624,72.6055,74.587,76.3575,78.128,79.6845,81.241,82.6025,83.964,85.1405,86.317,88.336,90.054,91.509,92.727,92.727
PAS,38.271,41.394,44.906,46.197,47.806,50.6655,53.525,56.0805,58.636,60.8675,63.099,65.0185,66.938,68.5795,70.221,73.029,75.429,77.485,79.254,79.254
SAS,25.037,26.144,27.322,28.491,29.911,32.79,35.669,38.584,41.499,44.347,47.195,49.9005,52.606,55.1135,57.621,62.185,66.284,69.927,73.143,73.143
WEU,71.14,71.975,72.872,74.275,75.691,77.319,78.947,80.3295,81.712,82.892,84.072,85.092,86.112,86.9985,87.885,89.421,90.749,91.89,92.868,92.868
World,42.616,44.45,46.398,48.627,50.525,54.489,58.453,62.037,65.621,68.7665,71.912,74.601,77.29,79.535,81.78,85.453,88.414,90.769,92.627,92.627
