,exporter,model,region,supply_type,unit,year,fuel_type,scenario,value,ref_value,delta
0,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2025,Total,FSU2040,0.19751471909166543,0.19751471909166543,0.0
1,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2030,Total,FSU2040,0.0,0.0,0.0
2,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2035,Total,FSU2040,0.0172527983672534,0.0,0.0172527983672534
3,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2040,Total,FSU2040,0.0,0.0,0.0
4,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2045,Total,FSU2040,0.0,0.0,0.0
5,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2050,Total,FSU2040,0.0,0.0,0.0
6,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2055,Total,FSU2040,0.0,0.0,0.0
7,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2060,Total,FSU2040,0.0,0.0,0.0
8,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2070,Total,FSU2040,0.0,0.0,0.0
9,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2025,Total,FSU2100,0.19751471909166543,0.19751471909166543,0.0
10,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2030,Total,FSU2100,0.0,0.0,0.0
11,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2035,Total,FSU2100,0.0,0.0,0.0
12,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2040,Total,FSU2100,0.0,0.0,0.0
13,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2045,Total,FSU2100,0.0,0.0,0.0
14,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2050,Total,FSU2100,0.0,0.0,0.0
15,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2055,Total,FSU2100,0.0,0.0,0.0
16,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2060,Total,FSU2100,0.0,0.0,0.0
17,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2070,Total,FSU2100,0.0,0.0,0.0
18,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2025,Total,FSU2040,13.900862390325432,13.900862390325432,0.0
19,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2030,Total,FSU2040,9.701216015025475,9.731193184867088,-0.02997716984161336
20,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2035,Total,FSU2040,9.903782056959994,9.98965755918156,-0.08587550222156715
21,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2040,Total,FSU2040,10.939524436994292,11.02865030471905,-0.08912586772475883
22,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2045,Total,FSU2040,11.594354598534371,11.524014521302337,0.07034007723203395
23,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2050,Total,FSU2040,13.779835480363701,13.584278623823536,0.19555685654016486
24,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2055,Total,FSU2040,17.384707731247573,17.133812966942905,0.25089476430466817
25,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2060,Total,FSU2040,22.796485528699748,22.61660129772272,0.17988423097702722
26,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2070,Total,FSU2040,34.25468481458063,34.26160289946472,-0.006918084884091513
27,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2025,Total,FSU2100,13.900862390325432,13.900862390325432,0.0
