,exporter,model,region,supply_type,unit,year,fuel_type,scenario,value,ref_value,delta
0,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2025,Gas,FSU2040,0.0,0.0,0.0
1,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2030,Gas,FSU2040,0.0,0.0,0.0
2,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2035,Gas,FSU2040,0.0172527983672534,0.0,0.0172527983672534
3,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2040,Gas,FSU2040,0.0,0.0,0.0
4,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2045,Gas,FSU2040,0.0,0.0,0.0
5,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2050,Gas,FSU2040,0.0,0.0,0.0
6,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2055,Gas,FSU2040,0.0,0.0,0.0
7,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2060,Gas,FSU2040,0.0,0.0,0.0
8,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2070,Gas,FSU2040,0.0,0.0,0.0
9,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2025,Gas,FSU2100,0.0,0.0,0.0
10,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2030,Gas,FSU2100,0.0,0.0,0.0
11,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2035,Gas,FSU2100,0.0,0.0,0.0
12,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2040,Gas,FSU2100,0.0,0.0,0.0
13,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2045,Gas,FSU2100,0.0,0.0,0.0
14,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2050,Gas,FSU2100,0.0,0.0,0.0
15,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2055,Gas,FSU2100,0.0,0.0,0.0
16,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2060,Gas,FSU2100,0.0,0.0,0.0
17,R12_FSU,weu_security,R12_AFR,Imports,EJ/yr,2070,Gas,FSU2100,0.0,0.0,0.0
18,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2025,Gas,FSU2040,2.5697801141176444,2.5697801141176444,0.0
19,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2030,Gas,FSU2040,2.9662534873033146,2.9662534873033146,0.0
20,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2035,Gas,FSU2040,3.866543921195105,3.866543921195105,0.0
21,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2040,Gas,FSU2040,5.25690695586785,5.25690695586785,0.0
22,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2045,Gas,FSU2040,6.435568627954101,6.435568627954101,0.0
23,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2050,Gas,FSU2040,8.418261664247044,8.418261664247044,0.0
24,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2055,Gas,FSU2040,10.84123829462724,10.84123829462724,0.0
25,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2060,Gas,FSU2040,13.79751560009475,13.79751560009475,0.0
26,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2070,Gas,FSU2040,21.095613007634675,21.095613007634675,0.0
27,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2025,Gas,FSU2100,2.5697801141176444,2.5697801141176444,0.0
28,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2030,Gas,FSU2100,2.9662534873033146,2.9662534873033146,0.0
29,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2035,Gas,FSU2100,3.866543921195105,3.866543921195105,0.0
30,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2040,Gas,FSU2100,5.25690695586785,5.25690695586785,0.0
31,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2045,Gas,FSU2100,6.799629256220015,6.435568627954101,0.36406062826591423
32,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2050,Gas,FSU2100,8.88807720351708,8.418261664247044,0.4698155392700354
33,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2055,Gas,FSU2100,11.440855205173582,10.84123829462724,0.5996169105463416
34,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2060,Gas,FSU2100,14.562795607588258,13.79751560009475,0.7652800074935087
35,R12_FSU,weu_security,R12_CHN,Imports,EJ/yr,2070,Gas,FSU2100,21.411013007634676,21.095613007634675,0.31540000000000035
36,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2025,Gas,FSU2040,0.5803409277323968,0.5803409277323968,0.0
37,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2030,Gas,FSU2040,0.0,1.029416480801639,-1.029416480801639
38,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2035,Gas,FSU2040,0.0,1.6468788096082507,-1.6468788096082507
39,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2040,Gas,FSU2040,0.0,2.2083771179565117,-2.2083771179565117
40,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2045,Gas,FSU2040,1.0214376980917528,2.8551975664288087,-1.833759868337056
41,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2050,Gas,FSU2040,2.517620107802893,3.7778109317388,-1.2601908239359072
42,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2055,Gas,FSU2040,4.433067352679556,4.89247697725783,-0.4594096245782735
43,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2060,Gas,FSU2040,4.770944789618745,5.159348635539736,-0.3884038459209913
44,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2070,Gas,FSU2040,4.957030994815482,4.859960073401078,0.09707092141440388
45,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2025,Gas,FSU2100,0.5803409277323968,0.5803409277323968,0.0
46,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2030,Gas,FSU2100,0.0,1.029416480801639,-1.029416480801639
47,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2035,Gas,FSU2100,0.0,1.6468788096082507,-1.6468788096082507
48,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2040,Gas,FSU2100,0.0,2.2083771179565117,-2.2083771179565117
49,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2045,Gas,FSU2100,0.0,2.8551975664288087,-2.8551975664288087
50,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2050,Gas,FSU2100,0.0,3.7778109317388,-3.7778109317388
51,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2055,Gas,FSU2100,0.0,4.89247697725783,-4.89247697725783
52,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2060,Gas,FSU2100,0.0,5.159348635539736,-5.159348635539736
53,R12_FSU,weu_security,R12_EEU,Imports,EJ/yr,2070,Gas,FSU2100,0.0,4.859960073401078,-4.859960073401078
54,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2025,Gas,FSU2040,0.0032313867781529,0.0032313867781529,0.0
55,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2030,Gas,FSU2040,0.0130614962400372,0.0,0.0130614962400372
56,R12_FSU,weu_security,R12_LAM,Imports,EJ/yr,2035,Gas,FSU2040,0.3688356166696082,0.3485568192500001,0.020278797419608086
