node_loc,technology,year_act,mode,time,value,unit
R12_AFR,dri_steel,2020,M1,year,0.18,???
R12_AFR,dri_gas_steel,2020,M1,year,0.18,???
R12_AFR,dri_steel,2025,M1,year,0.18,???
R12_CHN,dri_steel,2020,M1,year,0.0,???
R12_CHN,dri_gas_steel,2020,M1,year,0.0,???
R12_CHN,dri_steel,2025,M1,year,1.75,???
R12_EEU,dri_steel,2020,M1,year,0.0,???
R12_EEU,dri_gas_steel,2020,M1,year,0.0,???
R12_EEU,dri_steel,2025,M1,year,0.0,???
R12_FSU,dri_steel,2020,M1,year,7.93,???
R12_FSU,dri_gas_steel,2020,M1,year,7.93,???
R12_FSU,dri_steel,2025,M1,year,7.76,???
R12_LAM,dri_steel,2020,M1,year,7.93,???
R12_LAM,dri_gas_steel,2020,M1,year,7.93,???
R12_LAM,dri_steel,2025,M1,year,7.93,???
R12_MEA,dri_steel,2020,M1,year,50.02,???
R12_MEA,dri_gas_steel,2020,M1,year,50.02,???
R12_MEA,dri_steel,2025,M1,year,60.89,???
R12_NAM,dri_steel,2020,M1,year,4.52,???
R12_NAM,dri_gas_steel,2020,M1,year,4.52,???
R12_NAM,dri_steel,2025,M1,year,7.03,???
R12_PAO,dri_steel,2020,M1,year,0.0,???
R12_PAO,dri_gas_steel,2020,M1,year,0.0,???
R12_PAO,dri_steel,2025,M1,year,0.0,???
R12_PAS,dri_steel,2020,M1,year,0.73,???
R12_PAS,dri_gas_steel,2020,M1,year,0.73,???
R12_PAS,dri_steel,2025,M1,year,0.71,???
R12_RCPA,dri_steel,2020,M1,year,0.0,???
R12_RCPA,dri_gas_steel,2020,M1,year,0.0,???
R12_RCPA,dri_steel,2025,M1,year,0.0,???
R12_SAS,dri_steel,2020,M1,year,34.155,???
R12_SAS,dri_coal_steel,2020,M1,year,28.007,???
R12_SAS,dri_gas_steel,2020,M1,year,6.148,???
R12_SAS,dri_steel,2025,M1,year,55.0,???
R12_SAS,dri_coal_steel,2025,M1,year,45.0,???
R12_WEU,dri_steel,2020,M1,year,0.53,???
R12_WEU,dri_gas_steel,2020,M1,year,0.53,???
R12_WEU,dri_steel,2025,M1,year,0.08,???
