node_loc,technology,year_vtg,value,unit
R12_CHN,bof_steel,2025,17.924,t
R12_CHN,bof_steel,2020,9.57,t
R12_CHN,bof_steel,2015,6.736,t
R12_CHN,bof_steel,2010,14.395,t
R12_LAM,bof_steel,2020,0.6,t
R12_LAM,bof_steel,2015,0.12,t
R12_LAM,bof_steel,2010,1.04,t
R12_MEA,bof_steel,2010,0.3,t
R12_PAS,bof_steel,2025,1.06,t
R12_PAS,bof_steel,2020,1.4,t
R12_PAS,bof_steel,2015,0.94,t
R12_PAS,bof_steel,2010,2.4,t
R12_RCPA,bof_steel,2020,1.12,t
R12_RCPA,bof_steel,2015,0.1,t
R12_RCPA,bof_steel,2010,2.0,t
R12_SAS,bof_steel,2025,1.6,t
R12_SAS,bof_steel,2020,1.4,t
R12_SAS,bof_steel,2015,0.765,t
R12_SAS,bof_steel,2010,0.3,t
R12_AFR,bof_steel,2005,1.28,t
R12_CHN,bof_steel,2005,134.069,t
R12_EEU,bof_steel,2005,4.768,t
R12_FSU,bof_steel,2005,14.411,t
R12_LAM,bof_steel,2005,6.352,t
R12_MEA,bof_steel,2005,1.026,t
R12_NAM,bof_steel,2005,7.884,t
R12_PAO,bof_steel,2005,16.855,t
R12_PAS,bof_steel,2005,11.276,t
R12_RCPA,bof_steel,2005,0.8,t
R12_SAS,bof_steel,2005,10.471,t
R12_WEU,bof_steel,2005,21.57,t
