relation,node_rel,year_rel,value,unit
eaf_bound_2020,R12_AFR,2020,3.903,???
eaf_bound_2020,R12_CHN,2020,97.958,???
eaf_bound_2020,R12_EEU,2020,6.902,???
eaf_bound_2020,R12_FSU,2020,28.275,???
eaf_bound_2020,R12_LAM,2020,26.211,???
eaf_bound_2020,R12_MEA,2020,57.673,???
eaf_bound_2020,R12_NAM,2020,56.395,???
eaf_bound_2020,R12_PAO,2020,22.567,???
eaf_bound_2020,R12_PAS,2020,41.076,???
eaf_bound_2020,R12_RCPA,2020,4.996,???
eaf_bound_2020,R12_SAS,2020,64.953,???
eaf_bound_2020,R12_WEU,2020,79.165,???
