R12,sponge_iron,steel_scrap,pig_iron,steel
R12_AFR,-0.028,-0.325,-0.702,10.324
R12_CHN,0.301,-0.907,0.298,-110.287
R12_EEU,0.206,-8.709,0.351,21.917
R12_FSU,-2.199,-1.069,-3.59,-25.919
R12_LAM,-1.668,-0.317,-3.597,25.668
R12_MEA,5.022,-0.694,1.05,10.443
R12_NAM,2.856,-14.005,4.61,21.466
R12_PAO,0.007,-9.393,-0.078,-25.164
R12_PAS,-0.348,5.8,-0.027,14.202
R12_RCPA,0.572,5.027,-0.01,6.491
R12_SAS,0.527,16.312,-0.015,5.515
R12_WEU,3.872,9.301,3.347,4.248
