node_loc,technology,year_act,mode,time,value,unit
R12_AFR,dri_steel,2005,M1,year,1.78,???
R12_CHN,dri_steel,2005,M1,year,0.41,???
R12_FSU,dri_steel,2005,M1,year,3.34,???
R12_LAM,dri_steel,2005,M1,year,19.53,???
R12_MEA,dri_steel,2005,M1,year,15.85,???
R12_NAM,dri_steel,2005,M1,year,0.801,???
R12_PAO,dri_steel,2005,M1,year,0.0,???
R12_PAS,dri_steel,2005,M1,year,2.65,???
R12_WEU,dri_steel,2005,M1,year,0.44,???
R12_AFR,dri_steel,2010,M1,year,1.12,???
R12_CHN,dri_steel,2010,M1,year,0.0,???
R12_FSU,dri_steel,2010,M1,year,4.79,???
R12_LAM,dri_steel,2010,M1,year,13.91,???
R12_MEA,dri_steel,2010,M1,year,22.33,???
R12_NAM,dri_steel,2010,M1,year,0.6,???
R12_PAO,dri_steel,2010,M1,year,0.0,???
R12_PAS,dri_steel,2010,M1,year,3.66,???
R12_WEU,dri_steel,2010,M1,year,0.45,???
R12_AFR,dri_steel,2015,M1,year,1.12,???
R12_CHN,dri_steel,2015,M1,year,0.0,???
R12_FSU,dri_steel,2015,M1,year,5.44,???
R12_LAM,dri_steel,2015,M1,year,12.1,???
R12_MEA,dri_steel,2015,M1,year,32.14,???
R12_NAM,dri_steel,2015,M1,year,2.6,???
R12_PAO,dri_steel,2015,M1,year,0.0,???
R12_PAS,dri_steel,2015,M1,year,1.01,???
R12_WEU,dri_steel,2015,M1,year,0.55,???
R12_SAS,dri_coal_steel,2015,M1,year,19.987,???
R12_AFR,dri_gas_steel,2015,M1,year,1.12,???
R12_CHN,dri_gas_steel,2015,M1,year,0.0,???
R12_FSU,dri_gas_steel,2015,M1,year,5.44,???
R12_LAM,dri_gas_steel,2015,M1,year,12.1,???
R12_MEA,dri_gas_steel,2015,M1,year,32.14,???
R12_NAM,dri_gas_steel,2015,M1,year,2.6,???
R12_PAO,dri_gas_steel,2015,M1,year,0.0,???
R12_PAS,dri_gas_steel,2015,M1,year,1.01,???
R12_WEU,dri_gas_steel,2015,M1,year,0.55,???
