R12,sponge_iron,steel_scrap,pig_iron,steel
R12_AFR,-0.017,-0.252,-0.439,11.222
R12_CHN,3.458,-0.432,5.559,-11.786
R12_EEU,0.008,-7.937,0.199,16.269
R12_FSU,-3.679,-3.317,-7.293,-40.021
R12_LAM,-2.444,-0.077,-3.541,11.766
R12_MEA,2.807,-1.748,0.169,11.814
R12_NAM,0.726,-15.843,4.337,20.497
R12_PAO,0.041,-11.652,-0.484,-26.783
R12_PAS,-0.552,10.472,0.171,15.944
R12_RCPA,0.001,5.361,0.076,5.985
R12_SAS,0.227,13.675,-0.404,-0.341
R12_WEU,2.857,11.929,2.334,-5.41
