node,value
R12_AFR,1.2875
R12_CHN,0.9109
R12_EEU,0.8352
R12_FSU,1.1461
R12_LAM,1.0241
R12_MEA,1.1447
R12_NAM,1.3252
R12_PAO,0.8881
R12_PAS,0.9029
R12_RCPA,1.0371
R12_SAS,0.992
R12_WEU,0.9917
